,range_T,range_B,range_L,range_R,angle_BL,angle_TR
Qty,56.0,56.0,56.0,56.0,55.0,55.0
min,37.541777325267915,36.88536029270285,38.36423225017022,38.54151262846335,88.74008288355856,89.96365047683439
max,37.58832023235409,37.5922050575648,38.646814217506986,38.6,90.08298093460897,90.0343100090892
mean,37.57121808813463,37.56225140251765,38.56070325479876,38.5648129590837,89.98134033623978,90.00164490108224
std,0.008951714964897807,0.09179815662581958,0.03365845977790138,0.01082236837575533,0.17040987654746872,0.015806454938748694
requirement min,37.55331465820483,37.37865508926601,38.49338633524296,38.54316822233219,89.9,89.9
requirement max,37.589121518064424,37.745847715769294,38.62802017435456,38.586457695835215,90.1,90.1
