,serial_num,range_T,range_B,range_L,range_R,angle_BL,angle_TR
0,20UPGM22601071,41.984217347266345,,,,,
1,20UPGM22601046,42.029073964608116,,,,,
2,20UPGM22601061,42.03490720752218,,,,,
3,20UPGM22601045,42.02904190464612,,,,,
4,20UPGM22601049,,42.08113606608667,40.14536223977186,,90.18391096610614,
5,20UPGM22601073,,,,40.05181898790615,,
6,20UPGM22601074,,,,40.122025067567314,,
