,serial_num,range_T,range_B,range_L,range_R,angle_BL,angle_TR
0,20UPGM22601046,37.555297623804016,,,,,
1,20UPGM22601036,37.55320248078052,37.54932916484661,38.62730078752592,,,
2,20UPGM22110427,37.588300000000004,,38.61365078780431,38.6,,
3,20UPGM22601077,37.58832023235409,,,,,
4,20UPGM22601047,,37.5279085656595,38.646814217506986,,,
5,20UPGM22601051,,,38.627300000000005,,,
6,20UPGM22601049,,,,38.54179247612259,,
7,20UPGM22601075,,,,38.54151262846335,,
8,20UPGM22601016,,,,38.586362613784935,,
