,range_T,range_B,range_L,range_R,angle_BL,angle_TR
Qty,55.0,56.0,55.0,56.0,55.0,55.0
min,41.984217347266345,41.98487006458398,40.06881897985015,40.05181898790615,89.98060631698803,89.97807818667151
max,42.03490720752218,42.08113606608667,40.14536223977186,40.122025067567314,90.18391096610614,90.08617085309704
mean,42.00720551280457,42.00674736499163,40.08460517363865,40.08934962904006,90.01494733280633,90.02173272199765
std,0.010263100359592462,0.0136227626026493,0.011775154984221726,0.010511333426974533,0.029196855784811328,0.018759724364381832
requirement min,41.986679312085386,41.97950183978633,40.06105486367021,40.068326962186106,89.9,89.9
requirement max,42.02773171352375,42.033992890196934,40.10815548360709,40.11037229589401,90.1,90.1
