,range_T,range_B,range_L,range_R,angle_BL,angle_TR
Qty,56.0,56.0,56.0,56.0,55.0,55.0
min,37.55320248078052,37.5279085656595,38.535664258515126,38.54151262846335,89.94521803065821,89.96365047683439
max,37.58832023235409,37.5922050575648,38.646814217506986,38.6,90.08298093460897,90.03047357911235
mean,37.57211668984216,37.57424368482662,38.5635161175578,38.56417563633689,90.00409469009742,90.00190640079036
std,0.008084504609140434,0.010194501700694551,0.020657690803158317,0.010443762271145692,0.020760217659465206,0.014789931393444337
requirement min,37.55594768062388,37.55385468142523,38.522200735951486,38.5432881117946,89.9,89.9
requirement max,37.58828569906044,37.59463268822801,38.60483149916412,38.58506316087918,90.1,90.1
