,SENSOR_X,SENSOR_Y,FECHIPS_X,FECHIPS_Y,FECHIP_THICKNESS,FECHIP_THICKNESS_STD_DEVIATION,BAREMODULE_THICKNESS,BAREMODULE_THICKNESS_STD_DEVIATION,SENSOR_THICKNESS,SENSOR_THICKNESS_STD_DEVIATION
20UPGB42305006,39.502,41.093,42.209,40.287,151.8,8.7,313.5,7.1,207.8,123.5
20UPGB42305007,39.504,41.095,42.201,40.289,155.6,2.2,319.8,2.6,158.2,12.7
20UPGB42305008,39.502,41.093,42.208,40.274,156.2,2.3,319.5,3.0,175.5,110.2
20UPGB42305009,39.501,41.097,42.204,40.296,157.2,1.4,320.0,1.6,157.9,3.4
20UPGB42305010,39.504,41.092,42.207,40.294,154.8,3.0,317.5,3.2,153.1,2.8
20UPGB42305011,39.501,41.092,42.206,40.286,163.0,8.1,331.1,12.2,159.8,2.2
20UPGB42305012,39.501,41.093,42.206,40.292,153.9,4.2,317.2,5.0,171.3,16.7
20UPGB42305013,39.499,41.094,42.207,40.292,157.5,2.8,320.7,3.1,158.2,2.6
20UPGB42305014,39.499,41.096,42.218,40.294,157.1,1.7,320.9,3.1,156.3,2.1
20UPGB42305015,39.502,41.087,42.215,40.283,151.6,7.2,314.0,8.1,153.8,2.8
20UPGB42305016,39.501,41.09,42.217,40.287,155.9,4.4,317.7,5.1,154.2,3.6
20UPGB42305017,39.503,41.094,42.206,40.296,161.7,5.1,321.4,3.5,161.8,5.3
20UPGB42305018,39.505,41.097,42.213,40.289,158.8,3.1,322.7,2.5,169.5,46.6
20UPGB42305019,39.5,41.096,42.225,40.289,1.6,0.4,320.4,1.9,153.6,7.2
20UPGB42305020,39.5,41.096,42.209,40.289,147.8,12.6,309.2,11.8,158.1,2.6
20UPGB42305021,39.508,41.094,42.218,40.293,157.0,1.4,319.1,2.4,157.4,2.6
20UPGB42305022,39.502,41.098,42.207,40.299,157.6,1.7,320.5,1.8,157.8,2.5
20UPGB42305023,39.511,41.107,42.215,40.305,158.8,1.6,321.2,2.5,162.2,3.0
20UPGB42305024,39.497,41.096,42.202,40.292,155.8,1.8,320.4,2.5,135.7,22.9
20UPGB42305025,39.502,41.095,42.217,40.285,153.9,7.0,315.9,6.6,158.6,4.1
20UPGB42305026,39.499,41.097,42.209,40.289,156.7,2.1,320.4,2.4,159.2,2.7
20UPGB42306001,39.503,41.091,42.211,40.282,155.1,2.7,318.9,2.0,155.9,3.0
20UPGB42306002,39.501,41.09,42.212,40.295,158.0,1.5,320.0,2.4,209.3,124.6
20UPGB42306003,39.503,41.094,42.208,40.292,155.8,2.4,318.2,1.9,155.8,2.2
20UPGB42306004,39.503,41.092,42.21,40.292,156.5,2.1,318.2,2.5,156.1,4.3
20UPGB42306005,39.503,41.09,42.205,40.285,156.6,2.8,318.4,1.9,171.7,15.1
20UPGB42306006,39.502,41.092,42.2,40.291,155.1,3.0,319.2,2.5,167.0,16.8
20UPGB42306007,39.502,41.091,42.209,40.279,154.8,2.3,317.0,3.1,152.6,7.3
20UPGB42306008,39.502,41.091,42.209,40.281,157.1,1.6,319.8,2.8,186.3,65.2
20UPGB42306009,39.503,41.094,42.212,40.285,158.9,1.1,319.5,2.1,167.6,12.3
20UPGB42306010,39.5,41.096,42.21,40.28,157.1,2.8,317.0,2.9,153.7,2.1
20UPGB42306011,39.501,41.091,42.209,40.295,156.1,4.4,318.8,4.0,163.8,12.5
20UPGB42306012,39.499,41.094,42.206,40.304,157.6,1.9,321.3,2.9,203.6,129.1
20UPGB42306013,39.501,41.096,42.211,40.289,158.6,1.5,320.7,1.9,157.6,2.1
