,serial_number,tag,x,y
99,20UPGM22601047,AsicFmarkBR,20.811700000000002,-19.366850000000003
100,20UPGM22601047,FmarkTL,-18.98665,20.005300000000002
101,20UPGM22601047,FmarkTR,18.574350000000003,19.997500000000002
102,20UPGM22601047,FmarkBL,-18.9535,-18.6415
103,20UPGM22601047,FmarkBR,18.574350000000003,-18.5752
104,20UPGM22601049,AsicFmarkTL,-21.1588,20.5298
105,20UPGM22601049,AsicFmarkTR,20.8585,20.81365
106,20UPGM22601049,AsicFmarkBL,-20.95015,-19.5702
107,20UPGM22601049,AsicFmarkBR,21.11785,-19.2635
108,20UPGM22601049,FmarkTL,-18.88915,19.874650000000003
109,20UPGM22601049,FmarkTR,18.697200000000002,20.036500000000004
110,20UPGM22601049,FmarkBL,-18.7078,-18.6805
111,20UPGM22601049,FmarkBR,18.847350000000002,-18.505
112,20UPGM22601051,AsicFmarkTL,-21.0925,20.6663
113,20UPGM22601051,AsicFmarkTR,20.909200000000002,20.71615
114,20UPGM22601051,AsicFmarkBL,-21.06715,-19.4142
115,20UPGM22601051,AsicFmarkBR,20.936500000000002,-19.3805
116,20UPGM22601051,FmarkTL,-18.85015,19.9858
117,20UPGM22601051,FmarkTR,18.71085,19.9663
118,20UPGM22601051,FmarkBL,-18.85015,-18.6415
119,20UPGM22601051,FmarkBR,18.705000000000002,-18.6142
120,20UPGM22601061,AsicFmarkTL,-21.1315,20.55515
121,20UPGM22601061,AsicFmarkTR,20.90335,20.6245
122,20UPGM22601061,AsicFmarkBL,-21.1003,-19.52535
123,20UPGM22601061,AsicFmarkBR,20.909200000000002,-19.483850000000004
124,20UPGM22601061,FmarkTL,-18.908649999999998,19.868800000000004
125,20UPGM22601061,FmarkTR,18.671850000000003,19.861
126,20UPGM22601061,FmarkBL,-18.9145,-18.7
127,20UPGM22601061,FmarkBR,18.6582,-18.7
128,20UPGM22601066,AsicFmarkTL,,
129,20UPGM22601066,AsicFmarkTR,,
130,20UPGM22601066,AsicFmarkBL,,
131,20UPGM22601066,AsicFmarkBR,,
132,20UPGM22601066,FmarkTL,,
133,20UPGM22601066,FmarkTR,,
134,20UPGM22601066,FmarkBL,,
135,20UPGM22601066,FmarkBR,,
136,20UPGM22601039,AsicFmarkTL,-21.0833,20.63815
137,20UPGM22601039,AsicFmarkTR,20.92285,20.7103
138,20UPGM22601039,AsicFmarkBL,-21.017000000000003,-19.44735
139,20UPGM22601039,AsicFmarkBR,20.9872,-19.366850000000003
140,20UPGM22601039,FmarkTL,-18.8755,19.946800000000003
141,20UPGM22601039,FmarkTR,18.697200000000002,19.972150000000003
142,20UPGM22601039,FmarkBL,-18.855999999999998,-18.6025
143,20UPGM22601039,FmarkBR,18.716700000000003,-18.58885
144,20UPGM22601074,AsicFmarkTL,-21.0808,20.646800000000002
145,20UPGM22601074,AsicFmarkTR,20.94235,20.71615
146,20UPGM22601074,AsicFmarkBL,-21.02815,-19.4532
147,20UPGM22601074,AsicFmarkBR,20.9872,-19.40585
148,20UPGM22601074,FmarkTL,-18.86965,19.946800000000003
149,20UPGM22601074,FmarkTR,18.697200000000002,19.978
150,20UPGM22601074,FmarkBL,-18.855999999999998,-18.622
151,20UPGM22601074,FmarkBR,18.724500000000003,-18.58885
152,20UPGM22601073,AsicFmarkTL,-21.0535,20.6585
153,20UPGM22601073,AsicFmarkTR,20.9482,20.6908
154,20UPGM22601073,AsicFmarkBL,-21.00865,-19.422
155,20UPGM22601073,AsicFmarkBR,20.9872,-19.361
156,20UPGM22601073,FmarkTL,-18.8365,19.9585
157,20UPGM22601073,FmarkTR,18.736200000000004,19.978
158,20UPGM22601073,FmarkBL,-18.8248,-18.608349999999998
159,20UPGM22601073,FmarkBR,18.749850000000002,-18.56935
160,20UPGM22601052,AsicFmarkTL,-21.0925,20.594150000000003
161,20UPGM22601052,AsicFmarkTR,20.90335,20.71615
162,20UPGM22601052,AsicFmarkBL,-20.989150000000002,-19.4922
163,20UPGM22601052,AsicFmarkBR,21.006700000000002,-19.372700000000002
164,20UPGM22601052,FmarkTL,-18.86965,19.946800000000003
165,20UPGM22601052,FmarkTR,18.705000000000002,19.978
166,20UPGM22601052,FmarkBL,-18.8443,-18.608349999999998
167,20UPGM22601052,FmarkBR,18.736200000000004,-18.583
168,20UPGM22601016,AsicFmarkTL,-21.056,20.63815
169,20UPGM22601016,AsicFmarkTR,20.9482,20.7298
170,20UPGM22601016,AsicFmarkBL,-20.9858,-19.44735
171,20UPGM22601016,AsicFmarkBR,21.0262,-19.372700000000002
172,20UPGM22601016,FmarkTL,-18.8053,19.93315
173,20UPGM22601016,FmarkTR,18.7635,19.978
174,20UPGM22601016,FmarkBL,-18.7975,-18.62785
175,20UPGM22601016,FmarkBR,18.794700000000002,-18.608349999999998
176,20UPGM22601065,AsicFmarkTL,-21.0808,20.646800000000002
177,20UPGM22601065,AsicFmarkTR,20.936500000000002,20.73565
178,20UPGM22601065,AsicFmarkBL,-21.0145,-19.4337
179,20UPGM22601065,AsicFmarkBR,20.995,-19.3532
180,20UPGM22601065,FmarkTL,-18.855999999999998,19.946800000000003
181,20UPGM22601065,FmarkTR,18.705000000000002,19.978
182,20UPGM22601065,FmarkBL,-18.83065,-18.608349999999998
183,20UPGM22601065,FmarkBR,18.749850000000002,-18.583
184,20UPGM22601020,AsicFmarkTL,-21.095000000000002,20.5465
185,20UPGM22601020,AsicFmarkTR,20.92285,20.65765
186,20UPGM22601020,AsicFmarkBL,-21.024800000000003,-19.52535
187,20UPGM22601020,AsicFmarkBR,21.006700000000002,-19.4312
188,20UPGM22601020,FmarkTL,-18.8755,19.841500000000003
189,20UPGM22601020,FmarkTR,18.705000000000002,19.9078
190,20UPGM22601020,FmarkBL,-18.817,-18.7117
191,20UPGM22601020,FmarkBR,18.7635,-18.660999999999998
192,20UPGM22601024,AsicFmarkTL,-21.134,20.6128
193,20UPGM22601024,AsicFmarkTR,20.8702,20.7493
194,20UPGM22601024,AsicFmarkBL,-21.01115,-19.4805
195,20UPGM22601024,AsicFmarkBR,21.00085,-19.32785
196,20UPGM22601024,FmarkTL,-18.8443,20.03065
197,20UPGM22601024,FmarkTR,18.724500000000003,20.03065
198,20UPGM22601024,FmarkBL,-18.8443,-18.5362
