,serial_number,qc_stage,scan_num,scan_tags,analysis_tags,analysis_value
60,20UPGPQ2601080,PCB_POPULATION,001,FlexR,FlexR_2_y,10.708775000000001
61,20UPGPQ2601080,PCB_POPULATION,001,FlexR,FlexR_3_x,19.86263
62,20UPGPQ2601080,PCB_POPULATION,001,FlexR,FlexR_3_y,18.708775
63,20UPGPQ2601080,PCB_POPULATION,001,FlexT,FlexT_0_x,17.925725
64,20UPGPQ2601080,PCB_POPULATION,001,FlexT,FlexT_0_y,20.36513
65,20UPGPQ2601080,PCB_POPULATION,001,FlexT,FlexT_1_x,10.732725
66,20UPGPQ2601080,PCB_POPULATION,001,FlexT,FlexT_1_y,20.6604575
67,20UPGPQ2601080,PCB_POPULATION,001,FlexT,FlexT_2_x,-10.925775000000002
68,20UPGPQ2601080,PCB_POPULATION,001,FlexT,FlexT_2_y,20.3652275
69,20UPGPQ2601080,PCB_POPULATION,001,FlexT,FlexT_3_x,-18.338025000000002
70,20UPGPQ2601080,PCB_POPULATION,001,FlexT,FlexT_3_y,20.3894075
71,20UPGPQ2601080,PCB_POPULATION,001,FlexB,FlexB_0_x,-18.399025
72,20UPGPQ2601080,PCB_POPULATION,001,FlexB,FlexB_0_y,-19.9992275
73,20UPGPQ2601080,PCB_POPULATION,001,FlexB,FlexB_1_x,-10.508775
74,20UPGPQ2601080,PCB_POPULATION,001,FlexB,FlexB_1_y,-19.992987499999998
75,20UPGPQ2601080,PCB_POPULATION,001,FlexB,FlexB_2_x,10.491225
76,20UPGPQ2601080,PCB_POPULATION,001,FlexB,FlexB_2_y,-19.992694999999998
77,20UPGPQ2601080,PCB_POPULATION,001,FlexB,FlexB_3_x,17.625725
78,20UPGPQ2601080,PCB_POPULATION,001,FlexB,FlexB_3_y,-19.988599999999998
79,20UPGPQ2601080,PCB_POPULATION,001,HoleTL,HoleTL_x,-26.889373857084934
80,20UPGPQ2601080,PCB_POPULATION,001,HoleTL,HoleTL_y,27.14371298621592
81,20UPGPQ2601080,PCB_POPULATION,001,HoleTL,HoleTL_r,1.5295087373647773
82,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,SlotBR_x,27.092440246070105
83,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,SlotBR_y,-26.818884621308253
84,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,SlotBR_r,1.533
85,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,SlotBR_alpha,-0.7853981633974483
86,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,FlexL_line,19.701201481376586
87,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,FlexR_line,-19.860191224626206
88,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,FlexT_line,-20.445525842572643
89,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,FlexB_line,19.99333318343238
90,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,FlexX,39.56138797712017
91,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,FlexY,40.43885801014736
92,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,HoleTL_diameter,3.0590174747295547
93,20UPGPQ2601080,PCB_POPULATION,001,SlotBR,SlotBR_width,3.066
94,20UPGPQ2601120,PCB_POPULATION,001,FlexL,FlexL_0_x,-19.80927
