,serial_number,x,y,z,tags,imagePath
3,20UPGM22101021,-22.0,20.2,7.841995999999999,Jig,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8856.jpg
4,20UPGM22101021,-5.7,7.8,8.423796000000003,Pickup1,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8857.jpg
5,20UPGM22101021,-10.4,-11.200000000000001,8.403896000000001,Pickup2,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8858.jpg
6,20UPGM22101021,9.9,-8.8,8.421196000000004,Pickup3,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8859.jpg
7,20UPGM22101021,10.0,9.700000000000001,8.428696000000004,Pickup4,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8860.jpg
8,20UPGM22101021,18.900000000000002,19.900000000000002,8.434896,FmarkTR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8861.jpg
9,20UPGM22101021,18.900000000000002,-18.7,8.417796000000003,FmarkBR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8862.jpg
10,20UPGM22101021,-18.7,-18.7,8.395296000000002,FmarkBL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8863.jpg
11,20UPGM22101021,-18.7,19.900000000000002,8.415095999999998,FmarkTL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8864.jpg
12,20UPGM22101021,20.8,20.8,8.013995999999999,AsicFmarkTR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8865.jpg
13,20UPGM22101021,20.8,-19.400000000000002,8.013995999999999,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8866.jpg
14,20UPGM22101021,-20.900000000000002,-19.5,7.997796000000002,AsicFmarkBL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8867.jpg
15,20UPGM22101021,-20.900000000000002,20.8,8.000296000000002,AsicFmarkTL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8868.jpg
16,20UPGM22101021,-10.200000000000001,-18.2,10.110696000000004,HVCapacitor,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8869.jpg
17,20UPGM22101021,-9.6,-18.2,10.109396,HVCapacitor,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8870.jpg
18,20UPGM22101021,-9.200000000000001,-18.2,10.110396000000001,HVCapacitor,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8871.jpg
19,20UPGM22101021,-8.6,-18.2,10.117896,HVCapacitor,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8872.jpg
20,20UPGM22101021,-8.0,-18.2,10.172796000000002,HVCapacitor,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8873.jpg
21,20UPGM22101021,-3.0,-15.5,9.733595999999999,Connector,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8874.jpg
