,serial_number,qc_stage,scan_num,scan_x,scan_y,scan_z,tags,image_path
0,20UPGM22601039,MODULE_ASSEMBLY,001,22.0,20.2,7.8526960000000035,Jig,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16954.jpg
1,20UPGM22601039,MODULE_ASSEMBLY,001,22.0,-20.2,7.8539959999999995,Jig,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16955.jpg
2,20UPGM22601039,MODULE_ASSEMBLY,001,-22.0,-20.2,7.840296000000002,Jig,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16956.jpg
3,20UPGM22601039,MODULE_ASSEMBLY,001,-22.0,20.2,7.840696000000004,Jig,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16957.jpg
4,20UPGM22601039,MODULE_ASSEMBLY,001,-5.7,7.8,8.447196000000003,Pickup1,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16958.jpg
5,20UPGM22601039,MODULE_ASSEMBLY,001,-10.4,-11.200000000000001,8.427296000000002,Pickup2,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16959.jpg
6,20UPGM22601039,MODULE_ASSEMBLY,001,9.9,-8.8,8.438495999999999,Pickup3,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16960.jpg
7,20UPGM22601039,MODULE_ASSEMBLY,001,10.0,9.700000000000001,8.449095999999997,Pickup4,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16961.jpg
8,20UPGM22601039,MODULE_ASSEMBLY,001,18.900000000000002,19.900000000000002,8.456595999999998,FmarkTR,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16962.jpg
9,20UPGM22601039,MODULE_ASSEMBLY,001,18.900000000000002,-18.7,8.440396000000002,FmarkBR,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16963.jpg
10,20UPGM22601039,MODULE_ASSEMBLY,001,-18.7,-18.7,8.430696000000003,FmarkBL,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16964.jpg
11,20UPGM22601039,MODULE_ASSEMBLY,001,-18.7,19.900000000000002,8.438495999999999,FmarkTL,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16965.jpg
12,20UPGM22601039,MODULE_ASSEMBLY,001,20.8,20.8,8.013396,AsicFmarkTR,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16966.jpg
13,20UPGM22601039,MODULE_ASSEMBLY,001,20.8,-19.400000000000002,8.016995999999999,AsicFmarkBR,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16967.jpg
14,20UPGM22601039,MODULE_ASSEMBLY,001,-20.900000000000002,-19.5,7.999995999999999,AsicFmarkBL,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16968.jpg
15,20UPGM22601039,MODULE_ASSEMBLY,001,-20.900000000000002,20.8,8.003696000000003,AsicFmarkTL,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16969.jpg
16,20UPGM22601039,MODULE_ASSEMBLY,001,-10.200000000000001,-18.2,10.076495999999999,HVCapacitor,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16970.jpg
17,20UPGM22601039,MODULE_ASSEMBLY,001,-9.6,-18.2,10.076196000000003,HVCapacitor,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16971.jpg
18,20UPGM22601039,MODULE_ASSEMBLY,001,-9.200000000000001,-18.2,10.078095999999999,HVCapacitor,/nas/PreProduction/Module/20UPGM22601039/ASSEMBLY/Module_20UPGM22601039_ASSEMBLY_PreProduction_Size_Front/Img16972.jpg
