tags,scan_x,scan_y,scan_z
AsicFmarkBL,0.03467198711523246,0.0,0.09649449023234301
AsicFmarkBR,0.0,0.0,0.0553015851456194
AsicFmarkTL,0.03467198711523246,0.06934397423046207,0.06192585997923878
AsicFmarkTR,0.0,0.0,0.06213645361316296
AsicL,0.0,15.260827988860493,0.055523570565975205
AsicR,0.0,14.560720977194867,0.055414146237498726
Connector,2.4526361663574194,0.1165450838733411,0.06746637539626324
FlexB,14.574240214913566,0.0,0.1347577638853325
FlexL,0.0,14.206688904664283,0.09376456023408906
FlexR,0.0,15.24917003964086,0.07272239864926737
FlexT,15.056092935732115,0.0,0.14021703029801186
FmarkBL,0.0,0.0,3.8383986392727336
FmarkBR,0.0,0.0,0.08320358354929276
FmarkTL,0.0,0.0,0.13045182737681896
FmarkTR,0.0,0.0,0.06882116456230133
HVCapacitor,0.7658343889171305,0.0,0.0823511296296897
JJig,19.677398201998148,18.0674292581983,0.09143216064383446
Jig,22.021016745309993,20.219297193420996,0.2804518811948807
Pickup1,0.6916438258269436,0.43473763087416656,0.06558893578019354
Pickup2,0.2626888367532818,0.26720207466959894,0.08958658618689391
Pickup3,0.13638453101686468,0.2658311594579953,0.08130297491602055
Pickup4,0.26347793086099247,0.26583115945799535,0.09017251736001484
SensorB,14.680474429655492,0.0,0.05866665342508891
SensorT,14.591481071017347,0.0,0.056690273608721746
