,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
20UPGM22601020,20.2,-20.2,-20.2,20.2,7.8,-11.200000000000001,-8.8,9.700000000000001,19.900000000000002,-18.7,-18.7,19.900000000000002,20.8,-19.400000000000002,-19.5,20.8,-18.2,-18.2,-18.2,-18.2,-18.2,-15.5,-15.5,-15.5,19.5,5.1000000000000005,-9.9,-18.6,-19.7,-19.7,-19.7,-19.7,-18.7,-10.0,10.0,19.5,21.0,21.0,21.0,21.0,-18.400000000000002,-5.1000000000000005,9.9,18.7,20.8,20.8,20.8,20.8,18.7,10.700000000000001,-10.700000000000001,-18.7,-19.44,-19.44,-19.44,-19.44
20UPGM22601015,20.2,-20.2,-20.2,20.2,7.8,-11.200000000000001,-8.8,9.700000000000001,19.900000000000002,-18.7,-18.7,19.900000000000002,20.8,-19.400000000000002,-19.5,20.8,-18.2,-18.2,-18.2,-18.2,-18.2,-15.5,-15.5,-15.5,19.5,5.1000000000000005,-9.9,-18.6,-19.7,-19.7,-19.7,-19.7,-18.7,-10.0,10.0,19.5,21.0,21.0,21.0,21.0,-18.400000000000002,-5.1000000000000005,9.9,18.7,20.8,20.8,20.8,20.8,18.7,10.700000000000001,-10.700000000000001,-18.7,-19.44,-19.44,-19.44,-19.44
20UPGM22601016,20.2,-20.2,-20.2,20.2,7.8,-11.200000000000001,-8.8,9.700000000000001,19.900000000000002,-18.7,-18.7,19.900000000000002,20.8,-19.400000000000002,-19.5,20.8,-18.2,-18.2,-18.2,-18.2,-18.2,-15.5,-15.5,-15.5,19.5,5.1000000000000005,-9.9,-18.6,-19.7,-19.7,-19.7,-19.7,-18.7,-10.0,10.0,19.5,21.0,21.0,21.0,21.0,-18.400000000000002,-5.1000000000000005,9.9,18.7,20.8,20.8,20.8,20.8,18.7,10.700000000000001,-10.700000000000001,-18.7,-19.44,-19.44,-19.44,-19.44
20UPGM22110427,20.2,-20.2,-20.2,20.2,7.8,-11.200000000000001,-8.8,9.700000000000001,19.900000000000002,-18.7,-18.7,19.900000000000002,20.8,-19.400000000000002,-19.5,20.8,-18.2,-18.2,-18.2,-18.2,-18.2,-15.5,-15.5,-15.5,19.5,5.1000000000000005,-9.9,-18.6,-19.7,-19.7,-19.7,-19.7,-18.7,-10.0,10.0,19.5,21.0,21.0,21.0,21.0,-18.400000000000002,-5.1000000000000005,9.9,18.7,20.8,20.8,20.8,20.8,18.7,10.700000000000001,-10.700000000000001,-18.7,-19.44,-19.44,-19.44,-19.44
20UPGM22101021,20.2,-20.2,-20.2,20.2,7.8,-11.200000000000001,-8.8,9.700000000000001,19.900000000000002,-18.7,-18.7,19.900000000000002,20.8,-19.400000000000002,-19.5,20.8,-18.2,-18.2,-18.2,-18.2,-18.2,-15.5,-15.5,-15.5,19.5,5.1000000000000005,-9.9,-18.6,-19.7,-19.7,-19.7,-19.7,-18.7,-10.0,10.0,19.5,21.0,21.0,21.0,21.0,-18.400000000000002,-5.1000000000000005,9.9,18.7,20.8,20.8,20.8,20.8,18.7,10.700000000000001,-10.700000000000001,-18.7,-19.44,-19.44,-19.44,-19.44
20UPGM22601021,20.2,-20.2,-20.2,20.2,7.8,-11.200000000000001,-8.8,9.700000000000001,19.900000000000002,-18.7,-18.7,19.900000000000002,20.8,-19.400000000000002,-19.5,20.8,-18.2,-18.2,-18.2,-18.2,-18.2,-15.5,-15.5,-15.5,19.5,5.1000000000000005,-9.9,-18.6,-19.7,-19.7,-19.7,-19.7,-18.7,-10.0,10.0,19.5,21.0,21.0,21.0,21.0,-18.400000000000002,-5.1000000000000005,9.9,18.7,20.8,20.8,20.8,20.8,18.7,10.700000000000001,-10.700000000000001,-18.7,-19.44,-19.44,-19.44,-19.44
