,serial_number,qc_stage,scan_num,tags,valueType,values
72,20UPGM22601022,MODULE_ASSEMBLY,009,AsicFmarkTL,detect_x,-21.032600000000002
73,20UPGM22601022,MODULE_ASSEMBLY,009,AsicFmarkTL,detect_y,20.7298
74,20UPGM22601022,MODULE_ASSEMBLY,009,AsicFmarkBL,detect_x,-21.032600000000002
75,20UPGM22601022,MODULE_ASSEMBLY,009,AsicFmarkBL,detect_y,-19.3635
76,20UPGM22601022,MODULE_ASSEMBLY,009,AsicFmarkBR,detect_x,20.97745
77,20UPGM22601022,MODULE_ASSEMBLY,009,AsicFmarkBR,detect_y,-19.351250000000004
78,20UPGM22601022,MODULE_ASSEMBLY,009,AsicFmarkTR,detect_x,20.96965
79,20UPGM22601022,MODULE_ASSEMBLY,009,AsicFmarkTR,detect_y,20.7376
80,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,line_p0,21.125717662702005
81,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,line_p1,1.0
82,20UPGM22601022,MODULE_ASSEMBLY,009,AsicL,line_p2,-0.00029204295442550077
83,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,line_p0,-21.0723512167322
84,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,line_p1,1.0
85,20UPGM22601022,MODULE_ASSEMBLY,009,AsicR,line_p2,0.00017825294849217472
86,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,line_p0,-21.232523681985832
87,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,line_p1,-7.128582961888901e-05
88,20UPGM22601022,MODULE_ASSEMBLY,009,SensorT,line_p2,1.0
89,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,line_p0,19.86329156383971
90,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,line_p1,-0.00014944187762034935
91,20UPGM22601022,MODULE_ASSEMBLY,009,SensorB,line_p2,1.0
92,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,line_p0,19.830798647412802
93,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,line_p1,1.0
94,20UPGM22601022,MODULE_ASSEMBLY,009,FlexL,line_p2,-7.266303955020935e-05
95,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,line_p0,-19.751557123953894
96,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,line_p1,1.0
97,20UPGM22601022,MODULE_ASSEMBLY,009,FlexR,line_p2,-0.00012751986034179944
98,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,line_p0,-20.890397133468575
99,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,line_p1,-0.00036449285710148815
100,20UPGM22601022,MODULE_ASSEMBLY,009,FlexT,line_p2,1.0
101,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,line_p0,19.470578327380025
102,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,line_p1,-0.0003995824655936098
103,20UPGM22601022,MODULE_ASSEMBLY,009,FlexB,line_p2,1.0
104,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,detect_x,-21.0223
105,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,detect_y,-18.6922
106,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,detect_x,-21.0808
107,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,detect_y,-10.039
108,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,detect_x,-21.1978
109,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,detect_y,9.9298
110,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,detect_x,-21.2485
111,20UPGM22601026,MODULE_ASSEMBLY,002,AsicL,detect_y,19.45515
112,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,detect_x,20.94235
113,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,detect_y,19.4883
114,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,detect_x,21.034
115,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,detect_y,5.05515
116,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,detect_x,21.11785
117,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,detect_y,-9.9
118,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,detect_x,21.1705
119,20UPGM22601026,MODULE_ASSEMBLY,002,AsicR,detect_y,-18.619500000000002
120,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,detect_x,-17.960025
121,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,detect_y,21.10413
122,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,detect_x,-10.108775
123,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,detect_y,21.1520025
124,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,detect_x,9.776725
125,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,detect_y,21.2709525
126,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,detect_x,18.117975
127,20UPGM22601026,MODULE_ASSEMBLY,002,SensorT,detect_y,21.316875
128,20UPGM22601026,MODULE_ASSEMBLY,002,SensorB,detect_x,17.971725
