,serial_num,range_T,range_B,range_L,range_R,angle_BL,angle_TR
0,20UPGM22601039,37.57270855172008,37.572702479493,38.549304931995856,38.56100493049942,89.99183248415376,90.0096829671472
1,20UPGM22601074,37.56686295610135,37.580514620910925,38.568802415456204,38.56685966231241,90.03026324056307,90.00702776190687
2,20UPGM22601073,37.57270506018964,37.57467023970404,38.56685177471063,38.5473524168003,90.0420874233952,90.00944714967954
3,20UPGM22601052,37.574662953411845,37.580508549945144,38.55515833380794,38.561012622077236,90.00097702154206,90.00121692762978
4,20UPGM22601016,37.56882677117426,37.5922050575648,38.56100078887995,38.586362613784935,90.01813111612103,90.0220722408648
5,20UPGM22601026,37.56686462622347,37.580520236553404,38.56101262207724,38.55517608629222,90.01310150534825,89.98390896747178
6,20UPGM22601065,37.56101295811922,37.580508549945144,38.55515833380794,38.561026082334735,90.00097702154206,89.98095241351257
7,20UPGM22601042,37.57505985188181,37.57505985188181,38.55366400178458,38.55366400178458,89.98650684756618,89.98650684756618
8,20UPGM22601020,37.58055848360958,37.5805341997689,38.55324438344976,38.56884436549791,89.99035829479439,90.0141773893917
9,20UPGM22601047,37.5668702439064,37.574670239704034,38.56881971800537,38.56882839392454,90.00153287813573,89.98995797057735
10,20UPGM22601024,37.5688,37.57465080958838,38.56685,38.574650443587956,89.98810615471382,89.99131086587741
11,20UPGM22601051,37.5668702439064,37.580520236553404,38.5688083308585,38.568819718005365,90.02180132813423,90.00154522571006
12,20UPGM22601049,37.586698468274655,37.55556006468949,38.55557650126632,38.54179247612259,89.99825111945918,90.02350713975976
13,20UPGM22601050,37.57270182166835,37.57465045539347,38.55515078899964,38.57270044361037,90.00267098766649,90.02653126692586
14,20UPGM22601025,37.58054553222984,37.57468688685243,38.56104437447202,38.56688593787422,89.99336137088812,90.01097190768225
15,20UPGM22601023,,37.57465080958837,,38.57465492875472,,
16,20UPGM22601027,37.5727455416822,37.56103690025743,38.547394390185445,38.55322840541373,89.99335976664071,90.01965668384543
17,20UPGM22601029,37.57350334717272,37.56784193858492,38.58913265596935,38.56179523210117,90.03997315233964,90.00670507098441
18,20UPGM22601022,37.58635182100679,,38.58635044345345,,,
19,20UPGM22601021,37.58050991591253,37.57465505992704,38.55320833422947,38.561004930499415,89.992060752478,90.01264794075607
20,20UPGM22601037,37.56686462622347,37.580514620910925,38.561004930499415,38.56101424914158,90.02156693046247,90.00130348093597
21,20UPGM22601064,37.5668599195155,37.580508549945144,38.566858331279725,38.568819718005365,90.00098845005446,89.98370076728754
22,20UPGM22601046,37.56686462622347,37.58050505913938,38.566854929751536,38.58051424193955,90.00076034633341,90.0013283766345
23,20UPGM22601072,37.56685506097762,37.58050045532257,38.56100044374498,38.586354927260224,89.98238879463617,90.00078578888223
24,20UPGM22601062,37.56685506097762,37.572705060189634,38.561004930499415,38.56100833254365,90.0007621232878,89.99207454681972
25,20UPGM22110427,37.588300000000004,37.580502478978374,38.61365078780431,38.6,90.00923717790673,90.0
26,20UPGM22601035,37.56691559021715,37.58056925955886,38.572767478008366,38.57469435876972,89.997170471732,89.97982456513026
27,20UPGM22601054,37.580514620910925,37.574651821573816,38.547354932245355,38.568802415456204,89.98885647672515,90.03026324056309
28,20UPGM22601061,37.58050080946234,37.5727,38.568800443655235,38.56100241594479,90.0086904520644,90.008389828686
29,20UPGM22601036,37.55320248078052,37.54932916484661,38.62730078752592,38.56685177471063,90.08298093460897,89.99655566502886
30,20UPGM22601038,37.566884212195454,37.580508549945144,38.55515833380794,38.580519712025655,90.00097702154206,90.01940724246873
31,20UPGM22601044,37.57465247936433,37.5805,38.54735,38.56100044374497,90.0,90.01212201869201
32,20UPGM22601045,37.580520236553404,37.586370233403755,38.56686971900235,38.566876078378456,90.00151143703422,89.99282981022277
33,20UPGM22601015,37.5688146254643,37.58050505913938,38.566854929751536,38.58051261569758,90.00076034633341,90.00422168923318
34,20UPGM22601030,37.56686462622347,37.580514620910925,38.561012622077236,38.56102608233475,90.00418251809124,89.98391907883412
35,20UPGM22601041,37.5805,37.586350809336366,38.56100078887995,38.5688024154562,89.97652024388107,89.97972227920755
36,20UPGM22601071,37.57465045539347,37.56685080975647,38.57465241508989,38.56100044374497,89.99162166920839,89.98238740603713
37,20UPGM22601070,37.572701821668346,37.57465080958838,38.54930044387965,38.55320078903956,90.00319899719354,90.00624973556127
38,20UPGM22601031,37.56685182195203,37.57270182166835,38.56100493049942,38.56100241594479,90.01113233735933,90.00243735062197
39,20UPGM22101021,37.568812955428875,37.57465247936433,38.555154931247515,38.572708330016184,89.9918358014918,90.00992796615708
40,20UPGM22601034,37.555248010930505,36.88536029270285,38.36423225017022,38.54751024832862,88.74008288355856,90.0343100090892
41,20UPGM22601053,37.58635045525171,37.5805,38.555154931247515,38.56100241594479,89.97102157285762,89.98863578474804
42,20UPGM22601067,37.58050045532257,37.57465045539347,38.5610024159448,38.561004930499415,90.01136143848616,90.02005503547139
43,20UPGM22601069,37.57467676700627,37.58636461863531,38.55516425130361,38.566876078378456,90.00126977688008,90.00175944050909
44,20UPGM22601063,37.56100248026535,37.580502478978374,38.55515,38.555154931247515,90.02081098857015,89.99184336556614
45,20UPGM22601048,37.57467023970404,37.580514620910925,38.561014249141586,38.56686971900235,90.00128511677278,90.00152994878677
46,20UPGM22601055,37.561020247059325,37.580520236553404,38.56101262207724,38.56103333016375,90.01310150534825,89.98415837421574
47,20UPGM22601066,,,,,,
48,20UPGM22601068,37.57465505992704,37.586355058351955,38.55515241631136,38.55515833380794,90.00944045520761,89.99206265790446
