,serial_number,qc_stage,scan_num,tags,values
64,20UPGM22601042,MODULE_ASSEMBLY,003,Pickup4Z,0.5999612683089677
65,20UPGM22601042,MODULE_ASSEMBLY,003,PickupZ,0.5943462342949521
66,20UPGM22601042,MODULE_ASSEMBLY,003,HVCapacitorZ,2.237332926126485
67,20UPGM22601042,MODULE_ASSEMBLY,003,ConnectorZ,1.9256636420880089
68,20UPGM22601045,MODULE_ASSEMBLY,002,JigZ,7.842696
69,20UPGM22601045,MODULE_ASSEMBLY,002,Pickup1Z,0.5991951828842876
70,20UPGM22601045,MODULE_ASSEMBLY,002,Pickup2Z,0.5930152046531916
71,20UPGM22601045,MODULE_ASSEMBLY,002,Pickup3Z,0.5974899853722068
72,20UPGM22601045,MODULE_ASSEMBLY,002,Pickup4Z,0.5964239256226169
73,20UPGM22601045,MODULE_ASSEMBLY,002,PickupZ,0.5965310746330758
74,20UPGM22601045,MODULE_ASSEMBLY,002,HVCapacitorZ,2.2545859153958174
75,20UPGM22601045,MODULE_ASSEMBLY,002,ConnectorZ,1.9514374289997891
76,20UPGM22601046,MODULE_ASSEMBLY,002,JigZ,7.839796000000001
77,20UPGM22601046,MODULE_ASSEMBLY,002,Pickup1Z,0.5963348164301229
78,20UPGM22601046,MODULE_ASSEMBLY,002,Pickup2Z,0.5975090139092769
79,20UPGM22601046,MODULE_ASSEMBLY,002,Pickup3Z,0.595696703125896
80,20UPGM22601046,MODULE_ASSEMBLY,002,Pickup4Z,0.5972924678407967
81,20UPGM22601046,MODULE_ASSEMBLY,002,PickupZ,0.5967082503265231
82,20UPGM22601046,MODULE_ASSEMBLY,002,HVCapacitorZ,2.28593065070302
83,20UPGM22601046,MODULE_ASSEMBLY,002,ConnectorZ,1.924771737208894
84,20UPGM22601047,MODULE_ASSEMBLY,002,JigZ,7.8424460000000025
85,20UPGM22601047,MODULE_ASSEMBLY,002,Pickup1Z,0.6023263440383855
86,20UPGM22601047,MODULE_ASSEMBLY,002,Pickup2Z,0.5901892608209507
87,20UPGM22601047,MODULE_ASSEMBLY,002,Pickup3Z,0.5926127348681675
88,20UPGM22601047,MODULE_ASSEMBLY,002,Pickup4Z,0.6019607715139162
89,20UPGM22601047,MODULE_ASSEMBLY,002,PickupZ,0.596772277810355
90,20UPGM22601047,MODULE_ASSEMBLY,002,HVCapacitorZ,2.306372076123613
91,20UPGM22601047,MODULE_ASSEMBLY,002,ConnectorZ,1.9064774865985095
92,20UPGM22601049,MODULE_ASSEMBLY,005,JigZ,7.842871000000001
93,20UPGM22601049,MODULE_ASSEMBLY,005,Pickup1Z,0.6645413633155308
