,tag,name,x,y
0,AsicL,point,-21.04248,0.0
1,AsicL,direction,0.00079,1.0
2,AsicR,point,21.16442,0.0
3,AsicR,direction,0.00079,1.0
4,SensorT,point,0.0,21.2578
5,SensorT,direction,1.0,-0.00141
6,SensorB,point,0.0,-19.84853
7,SensorB,direction,1.0,-0.00134
8,PGTL,point,-20.20364,0.0
9,PGTL,direction,0.00088,1.0
10,PGTR,point,20.34718,0.0
11,PGTR,direction,0.00107,1.0
12,PGTT,point,0.0,20.98158
13,PGTT,direction,1.0,-0.00177
14,PGTB,point,0.0,-19.53031
15,PGTB,direction,1.0,-0.00177
