,serial_number,qc_stage,scan_num,tags,detect_x,detect_y
70,20UPGM22601015,MODULE_ASSEMBLY,002,FlexR,19.7610075,-10.691225000000001
71,20UPGM22601015,MODULE_ASSEMBLY,002,FlexR,19.77144,-18.564474999999998
72,20UPGM22601015,MODULE_ASSEMBLY,002,FmarkTL,-18.8248,19.9585
73,20UPGM22601015,MODULE_ASSEMBLY,002,FmarkBL,-18.8053,-18.608349999999998
74,20UPGM22601015,MODULE_ASSEMBLY,002,FmarkBR,18.7752,-18.58885
75,20UPGM22601015,MODULE_ASSEMBLY,002,FmarkTR,18.744000000000003,19.991650000000003
76,20UPGM22601015,MODULE_ASSEMBLY,002,AsicFmarkTL,-21.036500000000004,20.6635
77,20UPGM22601015,MODULE_ASSEMBLY,002,AsicFmarkBL,-20.9858,-19.42785
78,20UPGM22601015,MODULE_ASSEMBLY,002,AsicFmarkBR,21.02035,-19.347350000000002
79,20UPGM22601015,MODULE_ASSEMBLY,002,AsicFmarkTR,20.956,20.73565
80,20UPGM22601016,MODULE_ASSEMBLY,002,AsicL,-21.086650000000002,-18.6142
81,20UPGM22601016,MODULE_ASSEMBLY,002,AsicL,-21.0927925,-10.049725
82,20UPGM22601016,MODULE_ASSEMBLY,002,AsicL,-21.12565,9.99415
83,20UPGM22601016,MODULE_ASSEMBLY,002,AsicL,-21.151,19.5468
84,20UPGM22601016,MODULE_ASSEMBLY,002,AsicR,21.0457,19.461
85,20UPGM22601016,MODULE_ASSEMBLY,002,AsicR,21.0652,5.080500000000001
86,20UPGM22601016,MODULE_ASSEMBLY,002,AsicR,21.104200000000002,-9.822000000000001
87,20UPGM22601016,MODULE_ASSEMBLY,002,AsicR,21.112000000000002,-18.444000000000003
88,20UPGM22601016,MODULE_ASSEMBLY,002,SensorT,-17.989275,21.1430325
89,20UPGM22601016,MODULE_ASSEMBLY,002,SensorT,-10.508524999999999,21.1598025
90,20UPGM22601016,MODULE_ASSEMBLY,002,SensorT,9.688975,21.1950975
91,20UPGM22601016,MODULE_ASSEMBLY,002,SensorT,17.737725,21.208065
92,20UPGM22601016,MODULE_ASSEMBLY,002,SensorB,17.991225,-19.885054999999998
93,20UPGM22601016,MODULE_ASSEMBLY,002,SensorB,11.091225,-19.8962675
94,20UPGM22601016,MODULE_ASSEMBLY,002,SensorB,-9.376775,-19.9288325
95,20UPGM22601016,MODULE_ASSEMBLY,002,SensorB,-18.650025,-19.94414
96,20UPGM22601016,MODULE_ASSEMBLY,002,FlexT,-18.664775,20.831785
97,20UPGM22601016,MODULE_ASSEMBLY,002,FlexT,-10.772025,20.8342225
98,20UPGM22601016,MODULE_ASSEMBLY,002,FlexT,10.783725,20.8658125
99,20UPGM22601016,MODULE_ASSEMBLY,002,FlexT,18.276725,20.8935025
100,20UPGM22601016,MODULE_ASSEMBLY,002,FlexB,17.991225,-19.492845000000003
101,20UPGM22601016,MODULE_ASSEMBLY,002,FlexB,9.991225,-19.495282500000002
102,20UPGM22601016,MODULE_ASSEMBLY,002,FlexB,-10.008775,-19.50084
103,20UPGM22601016,MODULE_ASSEMBLY,002,FlexB,-18.408525,-19.511467500000002
104,20UPGM22601016,MODULE_ASSEMBLY,002,FlexL,-19.793022500000003,-18.391225000000002
105,20UPGM22601016,MODULE_ASSEMBLY,002,FlexL,-19.798482500000002,-5.0912250000000006
106,20UPGM22601016,MODULE_ASSEMBLY,002,FlexL,-19.798677500000004,9.899025
107,20UPGM22601016,MODULE_ASSEMBLY,002,FlexL,-19.806087500000004,18.708775
108,20UPGM22601016,MODULE_ASSEMBLY,002,FlexR,19.7052375,18.572274999999998
109,20UPGM22601016,MODULE_ASSEMBLY,002,FlexR,19.75584,10.708775000000001
110,20UPGM22601016,MODULE_ASSEMBLY,002,FlexR,19.7690025,-10.691225000000001
111,20UPGM22601016,MODULE_ASSEMBLY,002,FlexR,19.7799225,-18.583975
112,20UPGM22601016,MODULE_ASSEMBLY,002,FmarkTL,-18.8053,19.93315
113,20UPGM22601016,MODULE_ASSEMBLY,002,FmarkBL,-18.7975,-18.62785
114,20UPGM22601016,MODULE_ASSEMBLY,002,FmarkBR,18.794700000000002,-18.608349999999998
115,20UPGM22601016,MODULE_ASSEMBLY,002,FmarkTR,18.7635,19.978
