,serial_number,qc_stage,scan_num,scan_z,tags,image_path,delta_x,delta_y,margin
0,20UPGM22601020,MODULE_ASSEMBLY,003,8.427296000000002,FmarkTL,/nas/PreProduction/Module/20UPGM22601020/ASSEMBLY/Module_20UPGM22601020_ASSEMBLY_Size/Img9363.jpg,-0.17549999999999955,-0.058499999999998664,0.18499324311984933
1,20UPGM22601015,MODULE_ASSEMBLY,002,8.420995999999999,FmarkTL,/nas/PreProduction/Module/20UPGM22601015/ASSEMBLY/20UPGM22601015_Assembly_Metrology_Size_-1_2/Img7667.jpg,-0.12480000000000047,0.058499999999998664,0.13783065696716373
2,20UPGM22601016,MODULE_ASSEMBLY,002,8.417296000000002,FmarkTL,/nas/PreProduction/Module/20UPGM22601016/ASSEMBLY/20UPGM22601016_Assembly_Metrology_Size_-1/Img8074.jpg,-0.10529999999999973,0.033149999999999125,0.11039480286680114
3,20UPGM22110427,MODULE_ASSEMBLY,004,8.427396000000002,FmarkTL,/nas/PreProduction/Module/20UPGM22110427/ASSEMBLY/20UPGM22110427_Assembly_Metrology_Size_-1/Img7329.jpg,-0.1443000000000012,0.0721500000000006,0.16133230457661119
4,20UPGM22101021,MODULE_ASSEMBLY,001,8.415095999999998,FmarkTL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8864.jpg,-0.1443000000000012,0.06629999999999825,0.15880232995771856
5,20UPGM22601021,MODULE_ASSEMBLY,003,8.414595999999998,FmarkTL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8921.jpg,-0.1559999999999988,0.058499999999998664,0.16660807303369027
6,20UPGM22601020,MODULE_ASSEMBLY,003,8.402796000000002,FmarkBL,/nas/PreProduction/Module/20UPGM22601020/ASSEMBLY/Module_20UPGM22601020_ASSEMBLY_Size/Img9362.jpg,-0.11700000000000088,-0.011700000000001154,0.11758354476711541
7,20UPGM22601015,MODULE_ASSEMBLY,002,8.401095999999997,FmarkBL,/nas/PreProduction/Module/20UPGM22601015/ASSEMBLY/20UPGM22601015_Assembly_Metrology_Size_-1_2/Img7666.jpg,-0.10529999999999973,0.09165000000000134,0.1395987553669451
8,20UPGM22601016,MODULE_ASSEMBLY,002,8.403595999999999,FmarkBL,/nas/PreProduction/Module/20UPGM22601016/ASSEMBLY/20UPGM22601016_Assembly_Metrology_Size_-1/Img8073.jpg,-0.09750000000000014,0.0721500000000006,0.12129250801265556
9,20UPGM22110427,MODULE_ASSEMBLY,004,8.409296000000003,FmarkBL,/nas/PreProduction/Module/20UPGM22110427/ASSEMBLY/20UPGM22110427_Assembly_Metrology_Size_-1/Img7328.jpg,-0.13650000000000162,0.058499999999998664,0.14850757556434718
10,20UPGM22101021,MODULE_ASSEMBLY,001,8.395296000000002,FmarkBL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8863.jpg,-0.12480000000000047,0.11114999999999853,0.16712080211631283
11,20UPGM22601021,MODULE_ASSEMBLY,003,8.394696000000003,FmarkBL,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8920.jpg,-0.13064999999999927,0.10529999999999973,0.16780200386169336
12,20UPGM22601020,MODULE_ASSEMBLY,003,8.420696000000003,FmarkBR,/nas/PreProduction/Module/20UPGM22601020/ASSEMBLY/Module_20UPGM22601020_ASSEMBLY_Size/Img9361.jpg,-0.13650000000000162,0.03900000000000148,0.14196214284097208
13,20UPGM22601015,MODULE_ASSEMBLY,002,8.433496,FmarkBR,/nas/PreProduction/Module/20UPGM22601015/ASSEMBLY/20UPGM22601015_Assembly_Metrology_Size_-1_2/Img7665.jpg,-0.12480000000000047,0.11114999999999853,0.16712080211631283
14,20UPGM22601016,MODULE_ASSEMBLY,002,8.414496,FmarkBR,/nas/PreProduction/Module/20UPGM22601016/ASSEMBLY/20UPGM22601016_Assembly_Metrology_Size_-1/Img8072.jpg,-0.10529999999999973,0.09165000000000134,0.1395987553669451
15,20UPGM22110427,MODULE_ASSEMBLY,004,8.419896000000001,FmarkBR,/nas/PreProduction/Module/20UPGM22110427/ASSEMBLY/20UPGM22110427_Assembly_Metrology_Size_-1/Img7327.jpg,-0.1559999999999988,0.0721500000000006,0.1718767654454776
16,20UPGM22101021,MODULE_ASSEMBLY,001,8.417796000000003,FmarkBR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size/Img8862.jpg,-0.15015,0.12480000000000047,0.19524359784638298
17,20UPGM22601021,MODULE_ASSEMBLY,003,8.417496,FmarkBR,/nas/PreProduction/Module/20UPGM22601021/ASSEMBLY/Module_20UPGM22601021_ASSEMBLY_size_1/Img8919.jpg,-0.1559999999999988,0.12480000000000047,0.19977747620790423
18,20UPGM22601020,MODULE_ASSEMBLY,003,8.429495999999999,FmarkTR,/nas/PreProduction/Module/20UPGM22601020/ASSEMBLY/Module_20UPGM22601020_ASSEMBLY_Size/Img9360.jpg,-0.19500000000000028,0.007799999999999585,0.1951559376498704
19,20UPGM22601015,MODULE_ASSEMBLY,002,8.432396,FmarkTR,/nas/PreProduction/Module/20UPGM22601015/ASSEMBLY/20UPGM22601015_Assembly_Metrology_Size_-1_2/Img7664.jpg,-0.1559999999999988,0.09165000000000134,0.18093015917751212
