,scan_x,scan_y,scan_z
count,318.0,318.0,318.0
mean,0.0,-15.599999999999998,6.530336880503145
std,2.453350249107321,1.7791564579055508e-15,0.25454529056362085
min,-3.0,-15.6,6.460696000000004
25%,-3.0,-15.6,6.499020999999999
50%,-0.0,-15.6,6.510096000000002
75%,3.0,-15.6,6.522995999999999
max,3.0,-15.6,9.725796000000003
